Symbol,Name,Last Sale,Net Change,% Change,Market Cap,Country,IPO Year,Volume,Sector,Industry
KO,Coca-Cola Company (The) Common Stock,$78.58,-0.18,-0.229%,338220333075.00,United States,,12608722,Consumer Staples,Beverages (Production/Distribution)
KOSS,Koss Corporation Common Stock,$4.36,0.03,0.693%,41273670.00,United States,,16847,Consumer Staples,Consumer Electronics/Appliances
KR,Kroger Company (The) Common Stock,$67.77,-0.30,-0.441%,41517558028.00,United States,,3459985,Consumer Staples,Food Chains
LMNR,Limoneira Co Common Stock,$12.76,0.03,0.236%,231043751.00,United States,,55006,Consumer Staples,Farming/Seeds/Milling
LW,Lamb Weston Holdings Inc. Common Stock ,$43.86,0.31,0.712%,6055873140.00,United States,2016,1564050,Consumer Staples,Packaged Foods
LWAY,Lifeway Foods Inc. Common Stock,$27.10,0.26,0.969%,410554160.00,United States,,60751,Consumer Staples,Packaged Foods
MAMA,Mama's Creations Inc. Common Stock,$14.15,-0.04,-0.282%,575296550.00,United States,,333729,Consumer Staples,Specialty Foods
MDLZ,Mondelez International Inc. Class A Common Stock,$61.37,-0.07,-0.114%,78777586139.00,United States,,6479694,Consumer Staples,Packaged Foods
MED,MEDIFAST INC Common Stock,$10.91,0.04,0.368%,120355771.00,United States,,101039,Consumer Staples,Packaged Foods
MGPI,MGP Ingredients Inc.,$19.40,-0.54,-2.708%,414601998.00,United States,,227186,Consumer Staples,Beverages (Production/Distribution)
MKC,McCormick & Company Incorporated Common Stock,$50.24,-0.60,-1.18%,13500742493.00,United States,,2913037,Consumer Staples,Packaged Foods
MNST,Monster Beverage Corporation,$77.12,0.05,0.065%,75416112417.00,United States,,3270463,Consumer Staples,Beverages (Production/Distribution)
MSN,Emerson Radio Corporation Common Stock,$0.44,0.0096,2.23%,9258767.00,United States,1994,7783,Consumer Staples,Consumer Electronics/Appliances
MSS,Maison Solutions Inc. Class A Common Stock,$1.22,-0.01,-0.813%,7178603.00,United States,2023,19039,Consumer Staples,Food Chains
MZTI,The Marzetti Company Common Stock,$124.38,-5.90,-4.529%,3410872740.00,United States,,675082,Consumer Staples,Packaged Foods
NGVC,Natural Grocers by Vitamin Cottage Inc. Common Stock,$29.57,0.61,2.106%,681088560.00,United States,2012,124010,Consumer Staples,Food Chains
PEP,PepsiCo Inc. Common Stock,$157.41,-1.08,-0.681%,215143000464.00,United States,,4447270,Consumer Staples,Beverages (Production/Distribution)
PETS,PetMed Express Inc. Common Stock,$2.30,0.06,2.679%,49221139.00,United States,,61287,Consumer Staples,Retail-Drug Stores and Proprietary Stores
POST,Post Holdings Inc. Common Stock,$103.40,-1.35,-1.289%,4945024245.00,United States,2012,604314,Consumer Staples,Packaged Foods
PPC,Pilgrim's Pride Corporation Common Stock,$31.88,-1.22,-3.686%,7584951479.00,United States,,1624029,Consumer Staples,Meat/Poultry/Fish
PRMB,Primo Brands Corporation Class A Common Stock,$20.03,-0.35,-1.717%,7274433828.00,United States,2024,3442765,Consumer Staples,Beverages (Production/Distribution)
RIME,Algorhythm Holdings Inc. Common Stock,$1.02,0.01,0.99%,14944698.00,United States,,372956,Consumer Staples,Diversified Electronic Products
RKDA,Arcadia Biosciences Inc. Common Stock,$1.12,0.07,6.667%,2303710.00,United States,2015,50549,Consumer Staples,Farming/Seeds/Milling
RMCF,Rocky Mountain Chocolate Factory Inc. Common Stock,$2.46,0.01,0.408%,22958742.00,United States,,75243,Consumer Staples,Specialty Foods
RYM,RYTHM Inc. Common Stock,$29.345,-1.155,-3.787%,63066161.00,United States,2021,7573,Consumer Staples,Farming/Seeds/Milling
SAM,Boston Beer Company Inc. (The) Common Stock,$214.30,-22.74,-9.593%,2237584734.00,United States,,577930,Consumer Staples,Beverages (Production/Distribution)
SENEA,Seneca Foods Corp. Class A Common Stock,$137.68,-2.18,-1.559%,931656328.00,United States,,94379,Consumer Staples,Packaged Foods
SENEB,Seneca Foods Corp. Class B Common Stock,$137.55,-1.48,-1.065%,930776641.00,United States,,2957,Consumer Staples,Packaged Foods
SFD,Smithfield Foods Inc. Common Stock,$26.29,0.01,0.038%,10344517244.00,United States,2025,1145812,Consumer Staples,Meat/Poultry/Fish
SFM,Sprouts Farmers Market Inc. Common Stock,$81.19,-0.66,-0.806%,7635456798.00,United States,2013,2781119,Consumer Staples,Food Chains
SJM,The J.M. Smucker Company Common Stock,$96.97,-1.06,-1.081%,10341687493.00,United States,,1087540,Consumer Staples,Packaged Foods
SMPL,The Simply Good Foods Company Common Stock,$13.23,-0.14,-1.047%,1197169788.00,United States,,2377970,Consumer Staples,Packaged Foods
SONO,Sonos Inc. Common Stock,$14.84,0.01,0.067%,1793750230.00,United States,2018,1165478,Consumer Staples,Consumer Electronics/Appliances
SOWG,Sow Good Inc. Common Stock,$1.67,-0.03,-1.765%,33489218.00,United States,,29913,Consumer Staples,Packaged Foods
STZ,Constellation Brands Inc. Common Stock,$152.82,-3.76,-2.401%,26315369727.00,United States,,1503757,Consumer Staples,Beverages (Production/Distribution)
TR,Tootsie Roll Industries Inc. Common Stock,$42.50,0.28,0.663%,3101931775.00,United States,,134023,Consumer Staples,Specialty Foods
TSN,Tyson Foods Inc. Common Stock,$63.68,-0.39,-0.609%,22420388555.00,United States,,3896299,Consumer Staples,Meat/Poultry/Fish
TULP,Bloomia Holdings Inc. Common Stock,$3.92,-0.04,-1.01%,6950626.00,United States,,1475,Consumer Staples,Farming/Seeds/Milling
UEIC,Universal Electronics Inc. Common Stock,$4.20,-0.01,-0.238%,52981345.00,United States,1993,100992,Consumer Staples,Consumer Electronics/Appliances
UTZ,Utz Brands Inc Class A Common Stock ,$7.77,-0.19,-2.387%,1117167943.00,United States,2018,1527434,Consumer Staples,Packaged Foods
VITL,Vital Farms Inc. Common Stock,$14.18,0.53,3.883%,607591078.00,United States,2020,3215474,Consumer Staples,Packaged Foods
VLGEA,Village Super Market Inc. Class A Common Stock,$44.01,0.92,2.135%,649234200.00,United States,,35848,Consumer Staples,Food Chains
WEST,Westrock Coffee Company Common Stock,$5.90,0.01,0.17%,575591976.00,United States,,483763,Consumer Staples,Beverages (Production/Distribution)
WEYS,Weyco Group Inc. Common Stock,$33.04,0.05,0.152%,314911311.00,United States,,10235,Consumer Staples,Apparel
WMK,Weis Markets Inc. Common Stock,$70.95,0.77,1.097%,1755629157.00,United States,,95352,Consumer Staples,Food Chains
WVVI,Willamette Valley Vineyards Inc. Common Stock,$2.76,-0.05,-1.779%,13743500.00,United States,,2315,Consumer Staples,Beverages (Production/Distribution)
WVVIP,Willamette Valley Vineyards Inc. Series A Redeemable Preferred Stock,$2.775,0.025,0.909%,13818193.00,United States,,4112,Consumer Staples,Beverages (Production/Distribution)
YHC,LQR House Inc. Common Stock,$0.889,0.0567,6.812%,18999402.00,United States,2023,99039,Consumer Staples,Beverages (Production/Distribution)
YSWY,Yesway Inc. Class A Common Stock,$27.00,1.28,4.977%,1636472484.00,United States,2026,681053,Consumer Staples,Food Chains
ZVIA,Zevia PBC Class A Common Stock,$1.30,0.02,1.563%,100002556.00,United States,2021,327202,Consumer Staples,Beverages (Production/Distribution)
